Neighborhood,Latitude,Longitude
1,﻿47.4975,19.038056
2,47.516667,19.016667
3,47.5674,19.037
4,47.566667,19.083333
5,47.5,19.048611
6,47.509722,19.069722
7,47.500556,19.068725
8,﻿47.489444,19.070556
9,47.466667,19.083333
10,47.476389,19.143056
11,47.475,19.04
12,47.5,19
13,47.532778,19.066111
14,47.5125,19.108333
15,47.562222,19.132222
16,47.520278,19.173889
17,47.480278,19.266667
18,47.443889,19.176389
19,47.449722,19.133056
20,﻿47.435,19.116667
21,47.416667,19.083333
22,47.421986,19.024403
23,47.396389,19.131111
