Neighborhood,Latitude,Longitude
Prague 1,﻿50.08639,14.41111
Prague 2,50.07417,14.44278
Prague 3,﻿50.08444,14.45417
Prague 4,50.06222,14.44028
Prague 5,50.07194,14.40389
Prague 6,50.10083,14.39472
Prague 7,50.10056,14.43556
Prague 8,﻿50.10778,14.47139
Prague 9,50.11056,14.50000
Prague 10,50.07167,14.49806
Prague 11,﻿50.02861,14.53167
Prague 12,50.01,14.406944
Prague 13,50.05,14.344444
Prague 14,50.102778,14.552222
Prague 15,﻿50.04667,14.55667
Prague 16,49.98472,14.36389
Prague 17,50.07278,14.30750
Prague 18,50.13611,14.51000
Prague 19,50.13333,14.54944
Prague 20,﻿50.11472,14.61250
Prague 21,50.07583,14.65944
Prague 22,50.02972,14.60972
